[06: 45: 42] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 81.899 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 13: 38] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/update_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 107.146 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 13: 38] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/update_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 97.865 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 19] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 500 [response-time]: 9.745 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 24: 17] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 98.602 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 24: 17] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 73.910 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 32: 23] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/update_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 4.458 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 32: 23] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/update_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 5.780 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 33: 29] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/delete_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 77.168 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 36: 49] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/get_manufacture HTTP/1.1 [status]: 404 [response-time]: 4.624 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
