[06: 20: 32] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer?id=1532329861810 HTTP/1.1 [status]: 200 [response-time]: 0.661 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.110 - [method]: GET [url]: /api/v1/farmer/user_get_farmer?id=1532329861810 HTTP/1.1 [status]: 200 [response-time]: 6.148 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_add_factor HTTP/1.1 [status]: 200 [response-time]: 0.447 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.110 - [method]: POST [url]: /api/v1/farmer/user_add_factor HTTP/1.1 [status]: 200 [response-time]: 2.353 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 08] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer?id=1532330532552 HTTP/1.1 [status]: 200 [response-time]: 2.606 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 08] [ip]: ::ffff:192.168.0.110 - [method]: GET [url]: /api/v1/farmer/user_get_farmer?id=1532330532552 HTTP/1.1 [status]: 200 [response-time]: 5.967 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer?id=1532330588664 HTTP/1.1 [status]: 200 [response-time]: 4.879 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: GET [url]: /api/v1/farmer/user_get_farmer?id=1532330588664 HTTP/1.1 [status]: 200 [response-time]: 12.213 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer?id=1532330595643 HTTP/1.1 [status]: 200 [response-time]: 0.278 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: GET [url]: /api/v1/farmer/user_get_farmer?id=1532330595643 HTTP/1.1 [status]: 200 [response-time]: 2.819 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer?id=1532330602563 HTTP/1.1 [status]: 200 [response-time]: 0.189 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: GET [url]: /api/v1/farmer/user_get_farmer?id=1532330602563 HTTP/1.1 [status]: 200 [response-time]: 2.799 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer?id=1532330611021 HTTP/1.1 [status]: 200 [response-time]: 0.210 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: GET [url]: /api/v1/farmer/user_get_farmer?id=1532330611021 HTTP/1.1 [status]: 200 [response-time]: 4.516 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 0.334 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_update_farmer HTTP/1.1 [status]: 200 [response-time]: 0.186 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: POST [url]: /api/v1/farmer/user_update_farmer HTTP/1.1 [status]: 200 [response-time]: 0.855 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
