[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 6.839 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 19.738 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.400 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 6.085 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.216 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 5.286 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 8.524 ms [client]: PostmanRuntime/7.4.0
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.253 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 4.240 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 7.775 ms [client]: PostmanRuntime/7.4.0
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.274 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 8.810 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 56: 12] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 9.152 ms [client]: PostmanRuntime/7.4.0
[16: 00: 31] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 3.147 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[16: 00: 31] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 12.211 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[16: 00: 31] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 7.196 ms [client]: PostmanRuntime/7.4.0
