[11: 17: 21] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/se/get_all_chart HTTP/1.1 [status]: 200 [response-time]: 34.699 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 17: 21] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 200 [response-time]: 25.890 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 28: 12] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 37.646 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 28: 40] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 20.115 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 36: 15] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 15.942 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 36: 31] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 18.824 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 36: 51] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 20.044 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 36: 51] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 200 [response-time]: 14.408 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 39: 57] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 200 [response-time]: 22.004 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 39: 57] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 6.651 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
